sample_ID,biological_ID,replicate,temp_ID,location,collection_year,collection_month,collection_day,days_season,collection_date,sample_type,plate_num,plate_well,notes
1-A,1,A,1K1,Kenai,2022,5,6,1,5/6/2022,sample,1,A1,
2-A,2,A,1K2,Kenai,2022,5,6,1,5/6/2022,sample,1,B1,
3-A,3,A,1K3,Kenai,2022,5,6,1,5/6/2022,sample,1,C1,
4-A,4,A,1K4,Kenai,2022,5,6,1,5/6/2022,sample,1,D1,
5-A,5,A,1K5,Kenai,2022,5,6,1,5/6/2022,sample,1,E1,
6-A,6,A,1K6,Kenai,2022,5,6,1,5/6/2022,sample,1,F1,
7-A,7,A,1C7,House,2022,5,6,1,5/6/2022,field_blank,1,G1,
8-A,8,A,1K8,Kenai,2022,5,11,6,5/11/2022,sample,1,H1,
9-A,9,A,1K9,Kenai,2022,5,11,6,5/11/2022,sample,1,A2,
10-A,10,A,1K10,Kenai,2022,5,11,6,5/11/2022,sample,1,B2,
11-A,11,A,1C11,House,2022,5,11,6,5/11/2022,field_blank,1,C2,
12-A,12,A,1K12,Kenai,2022,5,17,12,5/17/2022,sample,1,D2,
13-A,13,A,1K13,Kenai,2022,5,17,12,5/17/2022,sample,1,E2,
14-A,14,A,1K14,Kenai,2022,5,17,12,5/17/2022,sample,1,F2,
15-A,15,A,1C15,House,2022,5,17,12,5/17/2022,field_blank,1,G2,
16-A,16,A,1K16,Kenai,2022,5,24,19,5/24/2022,sample,1,H2,
17-A,17,A,1K17,Kenai,2022,5,24,19,5/24/2022,sample,1,A3,
18-A,18,A,1K18,Kenai,2022,5,24,19,5/24/2022,sample,1,B3,
19-A,19,A,1V19,Kasilof,2022,5,24,19,5/24/2022,sample,1,C3,
20-A,20,A,1V20,Kasilof,2022,5,24,19,5/24/2022,sample,1,D3,
21-A,21,A,1V21,Kasilof,2022,5,24,19,5/24/2022,sample,1,E3,
22-A,22,A,1C22,House,2022,5,24,19,5/24/2022,field_blank,1,F3,
23-A,23,A,1V23,Kasilof,2022,5,31,26,5/31/2022,sample,1,G3,
24-A,24,A,1V24,Kasilof,2022,5,31,26,5/31/2022,sample,1,H3,
25-A,25,A,1V25,Kasilof,2022,5,31,26,5/31/2022,sample,1,"A4, A5",
26-A,26,A,2K26,Kenai,2022,5,31,26,5/31/2022,sample,1,"B4, B5",
27-A,27,A,2K27,Kenai,2022,5,31,26,5/31/2022,sample,1,"C4, C5",
28-A,28,A,2K28,Kenai,2022,5,31,26,5/31/2022,sample,1,"D4, D5",
29-A,29,A,2C29,House,2022,5,31,26,5/31/2022,field_blank,1,"E4, E5",
30-A,30,A,2V30,Kasilof,2022,6,7,33,6/7/2022,sample,1,"F4, F5",
31-A,31,A,2V31,Kasilof,2022,6,7,33,6/7/2022,sample,1,"G4, G5",
32-A,32,A,2V32,Kasilof,2022,6,7,33,6/7/2022,sample,1,"H4, H5",
33-A,33,A,2K33,Kenai,2022,6,7,33,6/7/2022,sample,1,A6,
34-A,34,A,2K34,Kenai,2022,6,7,33,6/7/2022,sample,1,C6,34 and 35 switched on DNA plate
35-A,35,A,2K35,Kenai,2022,6,7,33,6/7/2022,sample,1,B6,
36-A,36,A,2C36,House,2022,6,7,33,6/7/2022,field_blank,1,D6,
37-A,37,A,2K37,Kenai,2022,6,14,40,6/14/2022,sample,1,E6,
38-A,38,A,2K38,Kenai,2022,6,14,40,6/14/2022,sample,1,F6,
39-A,39,A,2K39,Kenai,2022,6,14,40,6/14/2022,sample,1,G6,
40-A,40,A,2V40,Kasilof,2022,6,14,40,6/14/2022,sample,1,H6,
41-A,41,A,2V41,Kasilof,2022,6,14,40,6/14/2022,sample,1,A7,
42-A,42,A,2V42,Kasilof,2022,6,14,40,6/14/2022,sample,1,B7,
43-A,43,A,2C43,House,2022,6,15,41,6/15/2022,field_blank,1,C7,
44-A,44,A,2V44,Kasilof,2022,6,21,47,6/21/2022,sample,1,D7,
45-A,45,A,2V45,Kasilof,2022,6,21,47,6/21/2022,sample,1,E7,
46-A,46,A,2V46,Kasilof,2022,6,21,47,6/21/2022,sample,1,F7,
47-A,47,A,2K47,Kenai,2022,6,21,47,6/21/2022,sample,1,G7,
48-A,48,A,2K48,Kenai,2022,6,21,47,6/21/2022,sample,1,H7,
49-A,49,A,2K49,Kenai,2022,6,21,47,6/21/2022,sample,1,A8,
50-A,50,A,2C50,House,2022,6,22,48,6/22/2022,field_blank,1,B8,
51-A,51,A,3V51,Kasilof,2022,6,28,54,6/28/2022,sample,1,C8,
52-A,52,A,3V52,Kasilof,2022,6,28,54,6/28/2022,sample,1,D8,
53-A,53,A,3V53,Kasilof,2022,6,28,54,6/28/2022,sample,1,E8,
54-A,54,A,3K54,Kenai,2022,6,28,54,6/28/2022,sample,1,F8,
55-A,55,A,3K55,Kenai,2022,6,28,54,6/28/2022,sample,1,G8,
56-A,56,A,3K56,Kenai,2022,6,28,54,6/28/2022,sample,1,H8,
57-A,57,A,3C57,House,2022,6,28,54,6/28/2022,field_blank,1,A9,
58-A,58,A,3V58,Kasilof,2022,7,5,61,7/5/2022,sample,1,B9,
59-A,59,A,3V59,Kasilof,2022,7,5,61,7/5/2022,sample,1,C9,
60-A,60,A,3V60,Kasilof,2022,7,5,61,7/5/2022,sample,1,D9,
61-A,61,A,3K61,Kenai,2022,7,5,61,7/5/2022,sample,1,E9,
62-A,62,A,3K62,Kenai,2022,7,5,61,7/5/2022,sample,1,F9,
63-A,63,A,3K62,Kenai,2022,7,5,61,7/5/2022,sample,1,G9,
64-A,64,A,3C64,House,2022,7,5,61,7/5/2022,field_blank,1,H9,
65-A,65,A,3V65,Kasilof,2022,7,12,68,7/12/2022,sample,1,A10,
66-A,66,A,3V66,Kasilof,2022,7,12,68,7/12/2022,sample,1,B10,
67-A,67,A,3V67,Kasilof,2022,7,12,68,7/12/2022,sample,1,C10,
68-A,68,A,3V68,Kenai,2022,7,12,68,7/12/2022,sample,1,D10,
69-A,69,A,3V69,Kenai,2022,7,12,68,7/12/2022,sample,1,E10,
70-A,70,A,3K70,Kenai,2022,7,12,68,7/12/2022,sample,1,F10,
71-A,71,A,3C71,House,2022,7,12,68,7/12/2022,field_blank,1,G10,
72-A,72,A,3V72,Kasilof,2022,7,20,76,7/20/2022,sample,1,H10,
73-A,73,A,3V73,Kasilof,2022,7,20,76,7/20/2022,sample,1,A11,
74-A,74,A,3V74,Kasilof,2022,7,20,76,7/20/2022,sample,1,B11,
75-A,75,A,3K75,Kenai,2022,7,20,76,7/20/2022,sample,1,C11,
76-A,76,A,4K76,Kenai,2022,7,20,76,7/20/2022,sample,1,D11,
77-A,77,A,4K77,Kenai,2022,7,20,76,7/20/2022,sample,1,E11,
78-A,78,A,4C78,House,2022,7,20,76,7/20/2022,field_blank,1,F11,
79-A,79,A,4V79,Kasilof,2022,7,26,82,7/26/2022,sample,1,G11,
80-A,80,A,4V80,Kasilof,2022,7,26,82,7/26/2022,sample,1,H11,
81-A,81,A,4V81,Kasilof,2022,7,26,82,7/26/2022,sample,1,A12,
82-A,82,A,4K82,Kenai,2022,7,26,82,7/26/2022,sample,1,B12,
83-A,83,A,4K83,Kenai,2022,7,26,82,7/26/2022,sample,1,C12,
84-A,84,A,4K84,Kenai,2022,7,26,82,7/26/2022,sample,1,D12,
85-A,85,A,4C85,House,2022,7,27,83,7/27/2022,field_blank,1,E12,
86-A,86,A,4V86,Kasilof,2022,8,2,89,8/2/2022,sample,2,A1,
87-A,87,A,4V87,Kasilof,2022,8,2,89,8/2/2022,sample,2,B1,
88-A,88,A,4V88,Kasilof,2022,8,2,89,8/2/2022,sample,2,C1,
89-A,89,A,4K89,Kenai,2022,8,2,89,8/2/2022,sample,2,D1,
90-A,90,A,4K90,Kenai,2022,8,2,89,8/2/2022,sample,2,E1,
91-A,91,A,4K91,Kenai,2022,8,2,89,8/2/2022,sample,2,F1,
92-A,92,A,4C92,House,2022,8,2,89,8/2/2022,field_blank,2,G1,
93-A,93,A,4V93,Kasilof,2022,8,9,96,8/9/2022,sample,2,H1,
94-A,94,A,4V94,Kasilof,2022,8,9,96,8/9/2022,sample,2,A2,
95-A,95,A,4V95,Kasilof,2022,8,9,96,8/9/2022,sample,2,B2,
96-A,96,A,4K96,Kenai,2022,8,9,96,8/9/2022,sample,2,C2,
97-A,97,A,4K97,Kenai,2022,8,9,96,8/9/2022,sample,2,D2,
98-A,98,A,4K98,Kenai,2022,8,9,96,8/9/2022,sample,2,E2,
99-A,99,A,4C99,House,2022,8,9,96,8/9/2022,field_blank,2,F2,
100-A,100,A,4V100,Kasilof,2022,8,17,104,8/17/2022,sample,2,G2,
101-A,101,A,5V101,Kasilof,2022,8,17,104,8/17/2022,sample,2,H2,
102-A,102,A,5V102,Kasilof,2022,8,17,104,8/17/2022,sample,2,A3,
103-A,103,A,5K103,Kenai,2022,8,17,104,8/17/2022,sample,2,B3,
104-A,104,A,5K104,Kenai,2022,8,17,104,8/17/2022,sample,2,C3,
105-A,105,A,5K105,Kenai,2022,8,17,104,8/17/2022,sample,2,D3,
106-A,106,A,5C106,House,2022,8,17,104,8/17/2022,field_blank,2,E3,
107-A,107,A,5V107,Kasilof,2022,8,23,110,8/23/2022,sample,2,F3,
108-A,108,A,5V108,Kasilof,2022,8,23,110,8/23/2022,sample,2,G3,
109-A,109,A,5V109,Kasilof,2022,8,23,110,8/23/2022,sample,2,H3,
110-A,110,A,5K110,Kenai,2022,8,23,110,8/23/2022,sample,2,A4,
111-A,111,A,5K111,Kenai,2022,8,23,110,8/23/2022,sample,2,B4,
112-A,112,A,5K112,Kenai,2022,8,23,110,8/23/2022,sample,2,C4,
113-A,113,A,5C113,House,2022,8,24,111,8/24/2022,field_blank,2,D4,
114-A,114,A,5V114,Kasilof,2022,8,30,117,8/30/2022,sample,2,E4,
115-A,115,A,5V115,Kasilof,2022,8,30,117,8/30/2022,sample,2,F4,
116-A,116,A,5V116,Kasilof,2022,8,30,117,8/30/2022,sample,2,G4,
117-A,117,A,5K117,Kenai,2022,8,30,117,8/30/2022,sample,2,H4,
118-A,118,A,5K118,Kenai,2022,8,30,117,8/30/2022,sample,2,A5,
119-A,119,A,5K119,Kenai,2022,8,30,117,8/30/2022,sample,2,B5,
120-A,120,A,5C120,House,2022,9,1,119,9/1/2022,field_blank,2,C5,
121-A,121,A,5V121,Kasilof,2022,9,7,125,9/7/2022,sample,2,D5,
122-A,122,A,5V122,Kasilof,2022,9,7,125,9/7/2022,sample,2,E5,
123-A,123,A,5V123,Kasilof,2022,9,7,125,9/7/2022,sample,2,F5,
124-A,124,A,5K124,Kenai,2022,9,7,125,9/7/2022,sample,2,G5,
125-A,125,A,5K125,Kenai,2022,9,7,125,9/7/2022,sample,2,H5,
126-A,126,A,6K126,Kenai,2022,9,7,125,9/7/2022,sample,2,A6,
127-A,127,A,6C127,House,2022,9,7,125,9/7/2022,field_blank,2,B6,
128-A,128,A,6V128,Kasilof,2022,9,14,132,9/14/2022,sample,2,C6,
129-A,129,A,6V129,Kasilof,2022,9,14,132,9/14/2022,sample,2,D6,
130-A,130,A,6V130,Kasilof,2022,9,14,132,9/14/2022,sample,2,E7,note inconsistency
131-A,131,A,6K131,Kenai,2022,9,14,132,9/14/2022,sample,2,F7,
132-A,132,A,6K132,Kenai,2022,9,14,132,9/14/2022,sample,2,G6,
133-A,133,A,6K133,Kenai,2022,9,14,132,9/14/2022,sample,2,H6,
134-A,134,A,6K134,House,2022,9,14,132,9/14/2022,field_blank,2,A7,
135-A,135,A,6V135,Kasilof,2022,9,21,139,9/21/2022,sample,2,B7,
136-A,136,A,6V136,Kasilof,2022,9,21,139,9/21/2022,sample,2,C7,
137-A,137,A,6V137,Kasilof,2022,9,21,139,9/21/2022,sample,2,D7,
138-A,138,A,6K138,Kenai,2022,9,21,139,9/21/2022,sample,2,E6,
139-A,139,A,6K139,Kenai,2022,9,21,139,9/21/2022,sample,2,F6,
140-A,140,A,6K140,Kenai,2022,9,21,139,9/21/2022,sample,2,G7,
141-A,141,A,6C141,House,2022,9,21,139,9/21/2022,field_blank,2,H7,
142-A,142,A,6V142,Kasilof,2022,9,28,146,9/28/2022,sample,2,A8,
143-A,143,A,6V143,Kasilof,2022,9,28,146,9/28/2022,sample,2,B8,
144-A,144,A,6V144,Kasilof,2022,9,28,146,9/28/2022,sample,2,C8,
145-A,145,A,6K145,Kenai,2022,9,28,146,9/28/2022,sample,2,D8,
146-A,146,A,6K146,Kenai,2022,9,28,146,9/28/2022,sample,2,E8,
147-A,147,A,6K147,Kenai,2022,9,28,146,9/28/2022,sample,2,F8,
148-A,148,A,6C148,House,2022,9,28,146,9/28/2022,field_blank,2,G8,
149-A,149,A,7V149,Kasilof,2022,10,5,153,10/5/2022,sample,2,H8,
150-A,150,A,7V150,Kasilof,2022,10,5,153,10/5/2022,sample,2,A9,
151-A,151,A,7V151,Kasilof,2022,10,5,153,10/5/2022,sample,2,B9,
152-A,152,A,7K152,Kenai,2022,10,5,153,10/5/2022,sample,2,C9,
153-A,153,A,7K153,Kenai,2022,10,5,153,10/5/2022,sample,2,D9,
154-A,154,A,7K154,Kenai,2022,10,5,153,10/5/2022,sample,2,E9,
155-A,155,A,7C155,House,2022,10,5,153,10/5/2022,field_blank,2,F9,
156-A,156,A,7V156,Kasilof,2022,10,12,160,10/12/2022,sample,2,G9,
157-A,157,A,7V157,Kasilof,2022,10,12,160,10/12/2022,sample,2,H9,
158-A,158,A,7V158,Kasilof,2022,10,12,160,10/12/2022,sample,2,A10,
159-A,159,A,7K159,Kenai,2022,10,12,160,10/12/2022,sample,2,B10,
160-A,160,A,7K160,Kenai,2022,10,12,160,10/12/2022,sample,2,C10,
161-A,161,A,7K161,Kenai,2022,10,12,160,10/12/2022,sample,2,D10,
162-A,162,A,7C162,House,2022,10,12,160,10/12/2022,field_blank,2,E10,
163-A,163,A,7V163,Kasilof,2022,10,18,166,10/18/2022,sample,2,F10,
164-A,164,A,7V164,Kasilof,2022,10,18,166,10/18/2022,sample,2,G10,
165-A,165,A,7V165,Kasilof,2022,10,18,166,10/18/2022,sample,2,H10,
166-A,166,A,7K166,Kenai,2022,10,18,166,10/18/2022,sample,2,A11,
167-A,167,A,7K167,Kenai,2022,10,18,166,10/18/2022,sample,2,B11,
168-A,168,A,7K168,Kenai,2022,10,18,166,10/18/2022,sample,2,C11,
169-A,169,A,7C169,House,2022,10,18,166,10/18/2022,field_blank,2,D11,
170-A,170,A,7V170,Kasilof,2022,10,25,173,10/25/2022,sample,2,E11,
171-A,171,A,7V171,Kasilof,2022,10,25,173,10/25/2022,sample,2,F11,
172-A,172,A,7V172,Kasilof,2022,10,25,173,10/25/2022,sample,2,G11,
173-A,173,A,7K173,Kenai,2022,10,25,173,10/25/2022,sample,2,H11,
174-A,174,A,7K174,Kenai,2022,10,25,173,10/25/2022,sample,2,A12,
175-A,175,A,7K175,Kenai,2022,10,25,173,10/25/2022,sample,2,B12,
176-A,176,A,7C176,House,2022,10,26,174,10/26/2022,field_blank,2,C12,
H2O1-A,H2O1,A,H2O1,Lab,2023,10,14,527,10/14/2023,pcr_blank,1,F12,
H2O2-A,H2O2,A,H2O2,Lab,2023,10,14,527,10/14/2023,pcr_blank,1,G12,
STURG1-A,STURG1,A,STURG1,Lab,2023,10,14,527,10/14/2023,positive,1,H12,
H2O3-A,H2O3,A,H2O3,Lab,2023,10,14,527,10/14/2023,pcr_blank,2,D12,
H2O4-A,H2O4,A,H2O4,Lab,2023,10,14,527,10/14/2023,pcr_blank,2,E12,
STURG2-A,STURG2,A,STURG2,Lab,2023,10,14,527,10/14/2023,positive,2,F12,
1-B,1,B,1K1,Kenai,2022,5,6,1,5/6/2022,sample,1,A1,
2-B,2,B,1K2,Kenai,2022,5,6,1,5/6/2022,sample,1,B1,
3-B,3,B,1K3,Kenai,2022,5,6,1,5/6/2022,sample,1,C1,
4-B,4,B,1K4,Kenai,2022,5,6,1,5/6/2022,sample,1,D1,
5-B,5,B,1K5,Kenai,2022,5,6,1,5/6/2022,sample,1,E1,
6-B,6,B,1K6,Kenai,2022,5,6,1,5/6/2022,sample,1,F1,
7-B,7,B,1C7,House,2022,5,6,1,5/6/2022,field_blank,1,G1,
8-B,8,B,1K8,Kenai,2022,5,11,6,5/11/2022,sample,1,H1,
9-B,9,B,1K9,Kenai,2022,5,11,6,5/11/2022,sample,1,A2,
10-B,10,B,1K10,Kenai,2022,5,11,6,5/11/2022,sample,1,B2,
11-B,11,B,1C11,House,2022,5,11,6,5/11/2022,field_blank,1,C2,
12-B,12,B,1K12,Kenai,2022,5,17,12,5/17/2022,sample,1,D2,
13-B,13,B,1K13,Kenai,2022,5,17,12,5/17/2022,sample,1,E2,
14-B,14,B,1K14,Kenai,2022,5,17,12,5/17/2022,sample,1,F2,
15-B,15,B,1C15,House,2022,5,17,12,5/17/2022,field_blank,1,G2,
16-B,16,B,1K16,Kenai,2022,5,24,19,5/24/2022,sample,1,H2,
17-B,17,B,1K17,Kenai,2022,5,24,19,5/24/2022,sample,1,A3,
18-B,18,B,1K18,Kenai,2022,5,24,19,5/24/2022,sample,1,B3,
19-B,19,B,1V19,Kasilof,2022,5,24,19,5/24/2022,sample,1,C3,
20-B,20,B,1V20,Kasilof,2022,5,24,19,5/24/2022,sample,1,D3,
21-B,21,B,1V21,Kasilof,2022,5,24,19,5/24/2022,sample,1,E3,
22-B,22,B,1C22,House,2022,5,24,19,5/24/2022,field_blank,1,F3,
23-B,23,B,1V23,Kasilof,2022,5,31,26,5/31/2022,sample,1,G3,
24-B,24,B,1V24,Kasilof,2022,5,31,26,5/31/2022,sample,1,H3,
25-B,25,B,1V25,Kasilof,2022,5,31,26,5/31/2022,sample,1,"A4, A5",
26-B,26,B,2K26,Kenai,2022,5,31,26,5/31/2022,sample,1,"B4, B5",
27-B,27,B,2K27,Kenai,2022,5,31,26,5/31/2022,sample,1,"C4, C5",
28-B,28,B,2K28,Kenai,2022,5,31,26,5/31/2022,sample,1,"D4, D5",
29-B,29,B,2C29,House,2022,5,31,26,5/31/2022,field_blank,1,"E4, E5",
30-B,30,B,2V30,Kasilof,2022,6,7,33,6/7/2022,sample,1,"F4, F5",
31-B,31,B,2V31,Kasilof,2022,6,7,33,6/7/2022,sample,1,"G4, G5",
32-B,32,B,2V32,Kasilof,2022,6,7,33,6/7/2022,sample,1,"H4, H5",
33-B,33,B,2K33,Kenai,2022,6,7,33,6/7/2022,sample,1,A6,
34-B,34,B,2K34,Kenai,2022,6,7,33,6/7/2022,sample,1,C6,
35-B,35,B,2K35,Kenai,2022,6,7,33,6/7/2022,sample,1,B6,
36-B,36,B,2C36,House,2022,6,7,33,6/7/2022,field_blank,1,D6,
37-B,37,B,2K37,Kenai,2022,6,14,40,6/14/2022,sample,1,E6,
38-B,38,B,2K38,Kenai,2022,6,14,40,6/14/2022,sample,1,F6,
39-B,39,B,2K39,Kenai,2022,6,14,40,6/14/2022,sample,1,G6,
40-B,40,B,2V40,Kasilof,2022,6,14,40,6/14/2022,sample,1,H6,
41-B,41,B,2V41,Kasilof,2022,6,14,40,6/14/2022,sample,1,A7,
42-B,42,B,2V42,Kasilof,2022,6,14,40,6/14/2022,sample,1,B7,
43-B,43,B,2C43,House,2022,6,15,41,6/15/2022,field_blank,1,C7,
44-B,44,B,2V44,Kasilof,2022,6,21,47,6/21/2022,sample,1,D7,
45-B,45,B,2V45,Kasilof,2022,6,21,47,6/21/2022,sample,1,E7,
46-B,46,B,2V46,Kasilof,2022,6,21,47,6/21/2022,sample,1,F7,
47-B,47,B,2K47,Kenai,2022,6,21,47,6/21/2022,sample,1,G7,
48-B,48,B,2K48,Kenai,2022,6,21,47,6/21/2022,sample,1,H7,
49-B,49,B,2K49,Kenai,2022,6,21,47,6/21/2022,sample,1,A8,
50-B,50,B,2C50,House,2022,6,22,48,6/22/2022,field_blank,1,B8,
51-B,51,B,3V51,Kasilof,2022,6,28,54,6/28/2022,sample,1,C8,
52-B,52,B,3V52,Kasilof,2022,6,28,54,6/28/2022,sample,1,D8,
53-B,53,B,3V53,Kasilof,2022,6,28,54,6/28/2022,sample,1,E8,
54-B,54,B,3K54,Kenai,2022,6,28,54,6/28/2022,sample,1,F8,
55-B,55,B,3K55,Kenai,2022,6,28,54,6/28/2022,sample,1,G8,
56-B,56,B,3K56,Kenai,2022,6,28,54,6/28/2022,sample,1,H8,
57-B,57,B,3C57,House,2022,6,28,54,6/28/2022,field_blank,1,A9,
58-B,58,B,3V58,Kasilof,2022,7,5,61,7/5/2022,sample,1,B9,
59-B,59,B,3V59,Kasilof,2022,7,5,61,7/5/2022,sample,1,C9,
60-B,60,B,3V60,Kasilof,2022,7,5,61,7/5/2022,sample,1,D9,
61-B,61,B,3K61,Kenai,2022,7,5,61,7/5/2022,sample,1,E9,
62-B,62,B,3K62,Kenai,2022,7,5,61,7/5/2022,sample,1,F9,
63-B,63,B,3K62,Kenai,2022,7,5,61,7/5/2022,sample,1,G9,
64-B,64,B,3C64,House,2022,7,5,61,7/5/2022,field_blank,1,H9,
65-B,65,B,3V65,Kasilof,2022,7,12,68,7/12/2022,sample,1,A10,
66-B,66,B,3V66,Kasilof,2022,7,12,68,7/12/2022,sample,1,B10,
67-B,67,B,3V67,Kasilof,2022,7,12,68,7/12/2022,sample,1,C10,
68-B,68,B,3V68,Kenai,2022,7,12,68,7/12/2022,sample,1,D10,
69-B,69,B,3V69,Kenai,2022,7,12,68,7/12/2022,sample,1,E10,
70-B,70,B,3K70,Kenai,2022,7,12,68,7/12/2022,sample,1,F10,
71-B,71,B,3C71,House,2022,7,12,68,7/12/2022,field_blank,1,G10,
72-B,72,B,3V72,Kasilof,2022,7,20,76,7/20/2022,sample,1,H10,
73-B,73,B,3V73,Kasilof,2022,7,20,76,7/20/2022,sample,1,A11,
74-B,74,B,3V74,Kasilof,2022,7,20,76,7/20/2022,sample,1,B11,
75-B,75,B,3K75,Kenai,2022,7,20,76,7/20/2022,sample,1,C11,
76-B,76,B,4K76,Kenai,2022,7,20,76,7/20/2022,sample,1,D11,
77-B,77,B,4K77,Kenai,2022,7,20,76,7/20/2022,sample,1,E11,
78-B,78,B,4C78,House,2022,7,20,76,7/20/2022,field_blank,1,F11,
79-B,79,B,4V79,Kasilof,2022,7,26,82,7/26/2022,sample,1,G11,
80-B,80,B,4V80,Kasilof,2022,7,26,82,7/26/2022,sample,1,H11,
81-B,81,B,4V81,Kasilof,2022,7,26,82,7/26/2022,sample,1,A12,
82-B,82,B,4K82,Kenai,2022,7,26,82,7/26/2022,sample,1,B12,
83-B,83,B,4K83,Kenai,2022,7,26,82,7/26/2022,sample,1,C12,
84-B,84,B,4K84,Kenai,2022,7,26,82,7/26/2022,sample,1,D12,
85-B,85,B,4C85,House,2022,7,27,83,7/27/2022,field_blank,1,E12,
86-B,86,B,4V86,Kasilof,2022,8,2,89,8/2/2022,sample,2,A1,
87-B,87,B,4V87,Kasilof,2022,8,2,89,8/2/2022,sample,2,B1,
88-B,88,B,4V88,Kasilof,2022,8,2,89,8/2/2022,sample,2,C1,
89-B,89,B,4K89,Kenai,2022,8,2,89,8/2/2022,sample,2,D1,
90-B,90,B,4K90,Kenai,2022,8,2,89,8/2/2022,sample,2,E1,
91-B,91,B,4K91,Kenai,2022,8,2,89,8/2/2022,sample,2,F1,
92-B,92,B,4C92,House,2022,8,2,89,8/2/2022,field_blank,2,G1,
